事業所名称,事業所郵便番号,事業所所在地
こどもデイサービス ほほえみ,586-0046,大阪府河内長野市中片添町１-26
ＩＬＩＳ　ＣＬＵＢ松原,580-0014,大阪府松原市岡三丁目2番15号　２階
みんなの木松原,580-0044,大阪府松原市田井城１丁目６番２２号１階１F-B号室
運動療育型児童デイあろは,580-0032,大阪府松原市天美東七丁目12番25号ローズクイーン天美101号
みんなの木天美,580-0032,大阪府松原市天美東八丁目４番29号１階
ライズ児童デイサービスまつばら,580-0002,大阪府松原市小川一丁目12番16号
グローイングアップひかり学園,580-0016,大阪府松原市上田一丁目７番36号ふぁみ～ゆ上田Ⅱ305号室
育み,580-0026,大阪府松原市天美我堂一丁目７番地朝日プラザ松原F棟101/102
つむぎ,580-0014,大阪府松原市岡四丁目２番22号
学習支援はぐくみ松原ほたる教室,580-0043,大阪府松原市阿保三丁目５番３号
児童デイサービス・アニマートまつばら,580-0016,大阪府松原市上田一丁目７番36号ふぁみ～ゆ上田Ⅱ２階202号室
こどもサポート教室「きらり」河内松原校,580-0016,大阪府松原市上田三丁目４番11号ペルルＹＴＫ３階301
放課後等デイサービスにじいろ倶楽部まつばら,580-0006,大阪府松原市大堀三丁目２番１号
サンリスペクト,580-0033,大阪府松原市天美南六丁目７番３号
放課後等デイサービス　テラ,580-0032,大阪府松原市天美東八丁目13番23号
ハレタソラ天美,580-0033,大阪府松原市天美南六丁目８番地の９
音楽療育特化型事業所　リズムストーリー松原,580-0043,大阪府松原市阿保五丁目15番20号　グランメゾンハーミア　１階店舗
児童発達支援・放課後等デイサービス　ｅｋｕｂｏ,580-0032,大阪府松原市天美東八丁目２番４号　ハイツ薮内パートⅠ　１階
トラストuni,580-0003,大阪府松原市一津屋二丁目5番22号
小鹿,580-0023,大阪府松原市南新町三丁目３番28号
アッセンブル,580-0021,大阪府松原市高見の里一丁目２番30号ふぁみ～ゆ松原中央106号室
といろ,580-0033,大阪府松原市天美南五丁目18番14号
ほっとキッズAdvance,583-0881,大阪府松原市三宅中一丁目４番27号
児童発達支援・放課後等デイサービスＨａＬｅ,580-0033,大阪府松原市天美南六丁目1番29号
児童発達支援・放課後等デイサービス　ｅｋｕｂｏ　Ｇｙｕｔｔｏ,580-0044,大阪府松原市田井城二丁目２番２号サンシティ松原120
放課後等デイサービス　ウィズ・ユー松原高見の里,580-0021,大阪府松原市高見の里三丁目２番11号　第８セイワビル１階１Ｆ号室
児童デイサービス・アニマートまつがおか,580-0042,大阪府松原市松ケ丘一丁目336番松原スイミングスクール貸し店舗　１階Ａ－３号室
みんなの木　田井城,580-0044,大阪府松原市田井城一丁目６番22号２階
児童発達支援・放課後等デイサービス　そら,580-0024,大阪府松原市東新町一丁目11番３号
ほっとキッズ松原天美,580-0033,大阪府松原市天美南五丁目22番11号
きょうわウィズ（児童発達支援・放課後等デイサービス）,580-0043,大阪府松原市阿保三丁目４番11号
ほっとキッズアフタースクール,580-0033,大阪府松原市天美南五丁目22番11号２階
放課後等デイサービス　ＰＡＬ,580-0011,大阪府松原市西大塚二丁目１番９号
コペルプラス　河内松原教室,580-0043,大阪府松原市阿保三丁目５番21号ＭＣビル２階201号
コペルプラス　河内天美教室,580-0032,大阪府松原市天美東七丁目７番７号ロイヤルコート天美　２階201号室
放課後等デイサービス　ウィズ・ユー松原高見の里２ｎｄ,580-0021,大阪府松原市高見の里四丁目765番地８号
大東市立幼児発達支援教室,574-0011,大阪府大東市北条一丁目16番16号
児童発達支援ポラリス運動day,574-0046,大阪府大東市赤井一丁目15番１号大東ビル１　２階
いきいきケアサポートにしの大東店,574-0025,大阪府大東市御供田四丁目４番11号ロイヤルメゾン千國１階右２号
bamboo・スポーツ塾ふらっと大東,574-0026,大阪府大東市住道二丁目２番110号大東サンメイツ２番館110号室
ぽっぷこーん大東,574-0028,大阪府大東市幸町22番25号
ふらっとＨＯＲＡ,574-0034,大阪府大東市朋来一丁目21番18号グラッドホーラ101号
ｆｌａｔ大東いいもりぷらざ店,574-0011,大阪府大東市北条一丁目16番16号４階
児童発達支援・放課後等デイサービスてくてく,574-0003,大阪府大東市明美の里町16番30号２階
放課後等デイサービスくりーむうさぎ,574-0045,大阪府大東市太子田二丁目10番16号
ぽっぷこーん大東ＮＥＸＴ,574-0014,大阪府大東市寺川三丁目11番10号
慶生会ＫＩＤＳステージ野崎,574-0011,大阪府大東市北条一丁目２番41号１階
ふらっとＨＯＲＡ２,574-0044,大阪府大東市諸福四丁目１番15号
児童発達支援・放課後等デイサービス翔はばたき,574-0044,大阪府大東市諸福二丁目１番４号
発達支援ルーム　ゆあーず,574-0046,大阪府大東市赤井一丁目15番１号４Ｆ
