事業所名称,事業所郵便番号,事業所所在地
すきっぷ,535-0013,大阪府大阪市旭区森小路二丁目７番１８号　 
じゃんぷ,535-0021,大阪府大阪市旭区清水五丁目１０番２７号　 
オールケア旭,535-0021,大阪府大阪市旭区清水四丁目３番１１号　 
オールケア児童デイあすなろ,535-0021,大阪府大阪市旭区清水四丁目３番３７号　 
多機能型児童通所支援　Ａ－Ｚ　ＫＩＤ’Ｓ,535-0021,大阪府大阪市旭区清水三丁目３３番１２号　 
児童発達支援・放課後等デイサービスＲふらっぷ,535-0021,大阪府大阪市旭区清水三丁目７番２８号　中井第三ビル１０１号室
楽童ほうぷ,535-0021,大阪府大阪市旭区清水二丁目１６番２２号　 
ことばのたまご,535-0022,大阪府大阪市旭区新森二丁目２４番６号　 
ＹＣＣもこもこ新森教室,535-0022,大阪府大阪市旭区新森二丁目２１番６号　リッチモンド１０　１０３号室
放課後等デイサービスサパートス,535-0022,大阪府大阪市旭区新森四丁目１２番１７号　ホワイトハイツ１０３号
いっぽアカデミー清水教室,535-0022,大阪府大阪市旭区新森七丁目１５番１１号　メゾン・ド・アルモニー１階
放課後等デイサービスはなはな,535-0031,大阪府大阪市旭区高殿五丁目４番２７号　 
放課後等デイサービス　アストロ大阪,535-0031,大阪府大阪市旭区高殿七丁目１８番７号　 
ＡＩＡＩ　ＰＬＵＳ　高殿,535-0031,大阪府大阪市旭区高殿三丁目３番１３号　 
オールケア旭ノア,535-0031,大阪府大阪市旭区高殿六丁目９番２３号　 
夢たまご　城東古市,536-0001,大阪府大阪市城東区古市一丁目２２番２０号　髙井アークビル１階
夢たまご　城東古市第二教室,536-0001,大阪府大阪市城東区古市一丁目２３番２３号　 
夢たまご　城東古市北館教室,536-0001,大阪府大阪市城東区古市一丁目２２番６号　 
かしゅかしゅ２,536-0001,大阪府大阪市城東区古市三丁目８番７号　１０５・１０９・１１１　 
児童発達支援ルーム　すてあーず,536-0002,大阪府大阪市城東区今福東一丁目１番１６号　１階
はじめのいっぽ今福教室,536-0002,大阪府大阪市城東区今福東三丁目１７番１３号　ハイマートすみれ１０１
ルペリ,536-0003,大阪府大阪市城東区今福南一丁目８番５号　ドムス蒲生　１階
放課後等デイサービス　わんだふる　じゅにあ,536-0004,大阪府大阪市城東区今福西六丁目１番２０号　 
総合支援型デイふらっと,536-0004,大阪府大阪市城東区今福西二丁目６番６号　グランピア今福１０２号室
ユニシア,536-0004,大阪府大阪市城東区今福西一丁目１番１４号　 
児童発達支援・放課後等デイサービス　るみっく,536-0005,大阪府大阪市城東区中央一丁目８番３３号　 
放課後等デイサービス学習支援　るみっく蒲生教室,536-0005,大阪府大阪市城東区中央一丁目１２番１７号　第２坂本ビル２０４号
放課後等デイサービス　成,536-0005,大阪府大阪市城東区中央一丁目８番２０号　シャトー中央２Ｆ
放課後等デイサービス　いろは,536-0005,大阪府大阪市城東区中央一丁目８番２０号　シャトー中央２Ｆ
運動療育はいたっち　蒲生四丁目教室,536-0005,大阪府大阪市城東区中央一丁目６番９号　ラ・ビスタ城東２０１
蒲生四丁目にこにこツリーハウス,536-0005,大阪府大阪市城東区中央一丁目８番２７号　アルマンド蒲生２階
放課後等デイサービス　サニー,536-0006,大阪府大阪市城東区野江四丁目７番１０号　 
ＢＥＡＲ　ＫＩＤＳ　野江店,536-0006,大阪府大阪市城東区野江三丁目９番１２号　内代センプレビル１階
就労準備型デイサービス　るみっくぷらす,536-0007,大阪府大阪市城東区成育五丁目２０番４号　 
放課後等デイサービス　ＴＲＡＮＳＩＴ,536-0007,大阪府大阪市城東区成育三丁目１４番１３号　旭伸ビル４階
放課後等デイサービス　あすなろ,536-0007,大阪府大阪市城東区成育三丁目１１番２号　 
サニーＳｍｉｌｅ,536-0007,大阪府大阪市城東区成育二丁目５番２１号　ビレッジ紅梅１Ｆ
こどものひだまり　成育,536-0007,大阪府大阪市城東区成育二丁目１３番１５号　アイビーマンション１０２
メイプル,536-0008,大阪府大阪市城東区関目五丁目３番９号　 
児童発達支援・放課後等デイサービスニコ,536-0008,大阪府大阪市城東区関目五丁目１８番４号　エステート関目２０３号室
児童ほっと・ステーション,536-0008,大阪府大阪市城東区関目一丁目２０番２２号　 
コロル城東,536-0008,大阪府大阪市城東区関目三丁目１４番５号　 
ｂｅｅ．ｆｏｒ　ｋｉｄｓ,536-0008,大阪府大阪市城東区関目四丁目７番１９号　 
ＬＥＧＯＮ　Ｋｉｄｓ　Ｓ,536-0008,大阪府大阪市城東区関目二丁目３番４号　ユニバーサル関目ビルディング４階
きっず・らるげっと,536-0008,大阪府大阪市城東区関目一丁目１９番１号　 
ＬＥＧＯＮ　Ｋｉｄｓ＋,536-0008,大阪府大阪市城東区関目二丁目３番４号　ユニバーサル関目ビルディング３階
あっぷるｔｒｅｅｈｏｍｅ放出,536-0011,大阪府大阪市城東区放出西三丁目１０番２号　 
伝,536-0013,大阪府大阪市城東区鴫野東二丁目２６番１８号　 
児童発達支援・放課後等デイサービス　みんなの広場　鴫野,536-0014,大阪府大阪市城東区鴫野西四丁目１０番１４号　２Ｆ
ＡＩＡＩ　ＰＬＵＳ　鴫野,536-0014,大阪府大阪市城東区鴫野西四丁目１番２４号　 
そら,536-0014,大阪府大阪市城東区鴫野西一丁目１４番１６号　 
のびのびパーク令樹,536-0014,大阪府大阪市城東区鴫野西二丁目１０番１２号　レイジュビル４階
のびのびパーク令樹お勉強クラス,536-0014,大阪府大阪市城東区鴫野西二丁目１０番８号　セントポーリア大阪城１０１
こぱんはうすさくら鴫野教室,536-0014,大阪府大阪市城東区鴫野西五丁目２２番１２号　アマントリビエールシギノ２階
ＪＡＰＡＮ　ＫＩＤＳ　京橋校,536-0016,大阪府大阪市城東区蒲生一丁目５番９号　 
放課後等デイサービス　ルナ,536-0016,大阪府大阪市城東区蒲生二丁目３番３号　 
ノビシロ,536-0016,大阪府大阪市城東区蒲生一丁目５番９号１階　 
ＬＩＢ城東諏訪,536-0021,大阪府大阪市城東区諏訪三丁目６番２６号　マンションポニー１階
放課後等デイサービス　ウィズ・ユー深江橋,536-0021,大阪府大阪市城東区諏訪四丁目３番１号　深江橋ロイヤルプラザ１０３号室
ＨＥＲＯ,536-0022,大阪府大阪市城東区永田四丁目１６番１６号　 
児童発達支援・放課後等デイサービス　かみか企画,536-0023,大阪府大阪市城東区東中浜三丁目４番１号　 
ナチュラルこどもハウス　東中浜店,536-0023,大阪府大阪市城東区東中浜六丁目１１番１９号　 
児童発達支援・放課後等デイサービスびっかむ,536-0023,大阪府大阪市城東区東中浜二丁目１０番１３号　 
ファンタジーハウス,536-0023,大阪府大阪市城東区東中浜三丁目２１番３０号　 
たんぽぽ・城東,536-0023,大阪府大阪市城東区東中浜九丁目１０番７号　 
放課後等デイサービス　ぎふと,536-0023,大阪府大阪市城東区東中浜六丁目５番１１号　 
集団療育センター　ＬＩＢ城東,536-0023,大阪府大阪市城東区東中浜五丁目６番９号　 
ここっと城東,536-0023,大阪府大阪市城東区東中浜一丁目７番２６号　 
児童発達支援・放課後等デイサービス　あうとぷっと,536-0024,大阪府大阪市城東区中浜二丁目３番２号　奥井ビル１Ｆ
ピタゴラボ城東,536-0024,大阪府大阪市城東区中浜二丁目１８番７号　ベルクレイン１階
ｗｅｌｆａｒｅ森之宮,536-0025,大阪府大阪市城東区森之宮二丁目７番　森之宮第二団地第７号棟第１０１号室
児童発達支援・放課後等デイサービスＣｈｏｕＣｈｏｕ　,536-0025,大阪府大阪市城東区森之宮一丁目５号棟　１０６　 
放課後等デイサービスウィズユー大東鶴見,538-0031,大阪府大阪市鶴見区茨田大宮二丁目２番５号　 
放課後等デイサービス　ウィズ・ユー大東鶴見２ｎｄ,538-0032,大阪府大阪市鶴見区安田三丁目３番２４号　 
ナチュラルこどもハウス鶴見区店,538-0035,大阪府大阪市鶴見区浜五丁目南１番２４号　 
ミライト,538-0035,大阪府大阪市鶴見区浜四丁目１８番１４号　グリーンノース１階
てならいこ,538-0037,大阪府大阪市鶴見区焼野一丁目南９番８号　 
放課後等デイサービス　くらふと,538-0037,大阪府大阪市鶴見区焼野一丁目南６番６号　 
児童デイサービス空木,538-0041,大阪府大阪市鶴見区今津北二丁目１０番９号　 
ライフサイズ・きっず,538-0041,大阪府大阪市鶴見区今津北五丁目１６番８号　 
Ｌｉｎｏ,538-0041,大阪府大阪市鶴見区今津北五丁目１７番２号　ＩＫカーサ１階
ポピーファム,538-0041,大阪府大阪市鶴見区今津北四丁目１５番２２号　１Ｆ
大阪発達支援センターぽぽろ,538-0041,大阪府大阪市鶴見区今津北一丁目１１番３２号　 
みんなの空間　ｔｅｔｓｕ,538-0042,大阪府大阪市鶴見区今津中五丁目４番１１号　 
けいきＪｕｎｉｏｒ,538-0042,大阪府大阪市鶴見区今津中三丁目１２番３号　 
けいきｐｌｕｓ,538-0042,大阪府大阪市鶴見区今津中三丁目８番２号　 
ぱんの木きっず,538-0043,大阪府大阪市鶴見区今津南二丁目１番３７号　エバーグリーン鶴見１０２号
放課後等デイサービス　ぱれっと,538-0044,大阪府大阪市鶴見区放出東三丁目２６番２２号　 
放課後等デイサービス　ぱれっとせかんど,538-0044,大阪府大阪市鶴見区放出東二丁目１９番３６号　 
うぇるふぇあナースリー鶴見,538-0044,大阪府大阪市鶴見区放出東二丁目１９番８号　ブランテージ石川１階
Ｗｅｌｆａｒｅスポーツ,538-0044,大阪府大阪市鶴見区放出東一丁目１８番２６号　Ｗｅｌｆａｒｅ放出ビル１階
癒しの森Ｋｉｄｓ　はなてん,538-0044,大阪府大阪市鶴見区放出東二丁目４番１号　別館２階
ぱんの木すてっぷ,538-0044,大阪府大阪市鶴見区放出東三丁目３番２２号　 
Ｃｏｚｙ　Ｓｃｈｏｏｌ　ぱんの木,538-0044,大阪府大阪市鶴見区放出東二丁目３番１７号　 
児童デイサービス咲花,538-0051,大阪府大阪市鶴見区諸口三丁目１番２８号　鶴見中里３Ｆ・４Ｆ
放課後等デイサービス　コスモ鶴見,538-0051,大阪府大阪市鶴見区諸口五丁目浜８番１１号　西野ビル１階、２階
児童発達支援放課後等デイサービスむすひ,538-0051,大阪府大阪市鶴見区諸口四丁目１４番９号　 
児童デイサービス響,538-0052,大阪府大阪市鶴見区横堤三丁目１０番３７号　ロイヤルハイツ横堤駅４０５
慶生学園,538-0053,大阪府大阪市鶴見区鶴見二丁目２４番３号　 
児童デイサービス　まりも,538-0054,大阪府大阪市鶴見区緑一丁目５番７号　カナザワ緑ビル４階
キッズ・トーン,538-0054,大阪府大阪市鶴見区緑二丁目２番３０号　カサデルシグロ２０２号室
きりんのあくび　ｋｉｄｓ　つるみ,538-0054,大阪府大阪市鶴見区緑一丁目９番８号　ドムール緑町２Ｆ
こぱんはうすさくら　大阪阿倍野教室,545-0001,大阪府大阪市阿倍野区天王寺町北三丁目６番１１号　シンエイビル４階
児童発達支援　放課後等デイサービス　キッズスクールＮｉｎｅ,545-0001,大阪府大阪市阿倍野区天王寺町北二丁目４番１号　 
スポーツアカデミーｓｔａｒ,545-0001,大阪府大阪市阿倍野区天王寺町北三丁目１３番２１号　コーポサンライフ１０１号
りんく,545-0001,大阪府大阪市阿倍野区天王寺町北二丁目６番３号　 
それいゆ,545-0002,大阪府大阪市阿倍野区天王寺町南二丁目２３番１８号　朝日プラザ阿倍野第２　Ｓ１０１・Ｓ１０２号室
児童発達支援・放課後等デイサービス　ＬＵＭＯ阿倍野校,545-0002,大阪府大阪市阿倍野区天王寺町南二丁目１番６号　ヴェルデ阿倍野１階
個別療育センター　結いの虹　昭和町教室,545-0004,大阪府大阪市阿倍野区文の里四丁目２１番３０号　一桃ビル６階
テラコヤキッズ　阿倍野教室,545-0005,大阪府大阪市阿倍野区三明町二丁目１１番２２号　阿倍野カルチェ美章園１０１室
発達支援ルーム　ピースプラント阿倍野,545-0011,大阪府大阪市阿倍野区昭和町一丁目１８番２２号　１階
帝塚山ＨＵＧ組昭和町,545-0011,大阪府大阪市阿倍野区昭和町二丁目６番１号　ファイブ日光１階
つながるみらいテラス昭和町,545-0011,大阪府大阪市阿倍野区昭和町二丁目１１番４号　 
あべのっ子,545-0011,大阪府大阪市阿倍野区昭和町五丁目２番１０号　 
ひっぽファミリー,545-0013,大阪府大阪市阿倍野区長池町２番９号　メロディーハイム桃ヶ池１０２・１０３号
どすこい昭和町部屋,545-0014,大阪府大阪市阿倍野区西田辺町一丁目１３番１号　 
スポーツとまなびのひろば阿倍野校,545-0021,大阪府大阪市阿倍野区阪南町一丁目１８番１９号　 
ドレミ舎らっこ組,545-0021,大阪府大阪市阿倍野区阪南町一丁目２４番８号　 
ひっぽファミリー昭和町,545-0021,大阪府大阪市阿倍野区阪南町三丁目３番２７号　 
ひっぽファミリーＫｉｄ’ｓ,545-0021,大阪府大阪市阿倍野区阪南町三丁目８番１２号　 
つながるみらいテラス,545-0021,大阪府大阪市阿倍野区阪南町五丁目２４番２２号　ツインハイツ栄和１階
Ｋｏｕ＋Ｎ,545-0021,大阪府大阪市阿倍野区阪南町一丁目１２番３号　 
ＦＵＮＤＡ,545-0021,大阪府大阪市阿倍野区阪南町五丁目１１番２５号　長生ビル６０１
児童発達支援　ことり,545-0021,大阪府大阪市阿倍野区阪南町三丁目１８番２７号　オーナーズマンション昭和町１Ｆ
らふのわ,545-0021,大阪府大阪市阿倍野区阪南町一丁目２５番３１号　リーベル文の里２０１号
Ａｍｉっ子クラブ播磨町店,545-0022,大阪府大阪市阿倍野区播磨町一丁目３番２号　 
運動療育はいたっち　阿倍野教室,545-0022,大阪府大阪市阿倍野区播磨町一丁目２０番２３号　日商岩井帝塚山マンション１０１号
あべの作業所（あべのキッズプナナ）,545-0023,大阪府大阪市阿倍野区王子町一丁目８番３号　 
放課後等デイサービスウィズ　阿倍野清明丘,545-0031,大阪府大阪市阿倍野区橋本町６番１１号　 
アクティブ・スポット,545-0032,大阪府大阪市阿倍野区晴明通３番２９号　ファミーユ・ケイ１０１号室
きんだぁ　らぼ　愛夢巣　きたばたけ,545-0035,大阪府大阪市阿倍野区北畠一丁目２１番４号　 
えがお　阿倍野区店,545-0036,大阪府大阪市阿倍野区万代一丁目４番１１号　ＨＹＳ万代林ビル１階
わくわくエジソン　あべの帝塚山教室,545-0037,大阪府大阪市阿倍野区帝塚山一丁目６番２５号　石渡ビル３階
帝塚山ＨＵＧ組,545-0037,大阪府大阪市阿倍野区帝塚山一丁目２３番１４号　帝塚山セントポリアＡ棟－Ｇ１０４
まんまる,545-0041,大阪府大阪市阿倍野区共立通一丁目３番１０号　 
えがおの玉手箱,545-0052,大阪府大阪市阿倍野区阿倍野筋四丁目２０番１９号　マンション阿美１階
ＬＩＴＡＬＩＣＯジュニア天王寺教室,545-0052,大阪府大阪市阿倍野区阿倍野筋一丁目３番１５号　５階
ＡＫＩＤＳあべの,545-0052,大阪府大阪市阿倍野区阿倍野筋一丁目５番１号　アベノルシアスビル３Ｆスポーツオアシス店内
ＩＬＩＳ　ＣＬＵＢ　阿倍野,545-0053,大阪府大阪市阿倍野区松崎町三丁目６番９号　 
みらいジュニア天王寺校,545-0053,大阪府大阪市阿倍野区松崎町二丁目６番３９号　ブルーハイツ３９　１階
児童発達支援・放課後等デイサービス　きゃんたす,545-0053,大阪府大阪市阿倍野区松崎町四丁目５番３１号　アベクマビル１Ｆ
セントラル・パーク　こはま,559-0001,大阪府大阪市住之江区粉浜二丁目６番１２ー２０４号　 
児童デイサービス　サニー,559-0001,大阪府大阪市住之江区粉浜二丁目１番３号　２階
障がい児者余暇生活支援センターじらふ・じらふ住之江,559-0002,大阪府大阪市住之江区浜口東三丁目８番８号　ヴィアンテ住之江１階
まんてん住之江安立教室,559-0003,大阪府大阪市住之江区安立二丁目１１番３号　平田マンション１０１号室
児童発達支援・放課後等デイサービスあどべんちゃー,559-0003,大阪府大阪市住之江区安立三丁目９番１９号　 
放課後等デイサービス・児童発達支援ＦｒｅｅＤｏｍ,559-0005,大阪府大阪市住之江区西住之江二丁目３番８号　ニューオダマンションＡ－２号
児童発達支援・放課後等デイサービス　スポーツ学習ひろば　わか,559-0005,大阪府大阪市住之江区西住之江二丁目１番１号　１階
ファーストクラス住之江,559-0005,大阪府大阪市住之江区西住之江二丁目３番２１号　サワーハイツ住之江２０２号室
すまいる．れいんぼー．ぶりっじ,559-0007,大阪府大阪市住之江区粉浜西三丁目１番１３－１３号　 
児童デイサービスさくらいろ北加賀屋,559-0011,大阪府大阪市住之江区北加賀屋五丁目５番４１号　 
放課後等デイサービスあおぞら住之江,559-0011,大阪府大阪市住之江区北加賀屋一丁目４番２６号　ニュー北加賀屋マンション１２０号
つむぐ住之江,559-0011,大阪府大阪市住之江区北加賀屋一丁目１番１９号　ファミール榊原１Ｆ
アトム　北加賀屋教室,559-0011,大阪府大阪市住之江区北加賀屋五丁目８番５７号　（ＳＨＩＮＩＣＨＩビル２階）
アトム放課後等デイサービス,559-0011,大阪府大阪市住之江区北加賀屋五丁目２番２４号　パインビル１階
スマイル御崎,559-0013,大阪府大阪市住之江区御崎八丁目６番１５号　 
虹の家御崎,559-0013,大阪府大阪市住之江区御崎八丁目６番１４号　 
まんてん住之江御崎教室,559-0013,大阪府大阪市住之江区御崎六丁目６番２４号　サンシャイン中野１Ｆ
まんてん住之江御崎第２教室,559-0013,大阪府大阪市住之江区御崎六丁目１番３号　タカラビル６階　２号室
Ｌａ・Ｐｕｕｌｅ　住之江,559-0013,大阪府大阪市住之江区御崎五丁目１４番１１号　クレセントマンション２０１
児童発達支援・放課後等デイサービス　スポーツ学習ひろば　わか　御崎,559-0013,大阪府大阪市住之江区御崎二丁目５番１号　本田ビル２階
ステップ御崎,559-0013,大阪府大阪市住之江区御崎八丁目１番１２号　青松ビル１階
ひかり,559-0014,大阪府大阪市住之江区北島二丁目８番１０号　ロイヤル北島１階
み・らいずプレイス　すみのえ,559-0015,大阪府大阪市住之江区南加賀屋四丁目４番１９号　 
パレット南加賀屋,559-0015,大阪府大阪市住之江区南加賀屋四丁目８番２２号　 
愛和プラス,559-0016,大阪府大阪市住之江区西加賀屋一丁目１番４４号　 
児童デイサービス　さくらいろ　中加賀屋,559-0017,大阪府大阪市住之江区中加賀屋三丁目１２番２０号　 
運動療育型児童デイ　メイト,559-0017,大阪府大阪市住之江区中加賀屋三丁目１番２２号　朝日ビル１０１号
グッドサポート,559-0017,大阪府大阪市住之江区中加賀屋三丁目１１番２３号　 
いんくるーじょん,559-0017,大阪府大阪市住之江区中加賀屋三丁目１２番１５号　第２ランスロットハイツ　１Ｆ北西店舗
児童デイサービス　はれるや,559-0024,大阪府大阪市住之江区新北島二丁目２番２９号１１０　 
まんてん,559-0024,大阪府大阪市住之江区新北島五丁目３番１６号　フォレストインサイドⅡ　１階
まんてん住之江新北島第二教室,559-0024,大阪府大阪市住之江区新北島五丁目３番１６号　東北商店ビル３Ｆ
個別療育センター　結いの虹　住之江教室,559-0024,大阪府大阪市住之江区新北島一丁目２番１　オスカードリーム１階
ときスクール,559-0033,大阪府大阪市住之江区南港中三丁目９番２７号　サンコーポラス南港２７号棟１０８号室
ファーストクラスしらなみ校,559-0033,大阪府大阪市住之江区南港中三丁目３番　ＵＲ南港しらなみ団地３３号棟１０１号室
ファーストクラスポートタウン校,559-0033,大阪府大阪市住之江区南港中二丁目１番　１０９号
運動療育型児童デイ　ぽぷらの樹　住吉,558-0002,大阪府大阪市住吉区長居西三丁目４番２２号　１０３号
じらふ長居,558-0003,大阪府大阪市住吉区長居二丁目４番１号　 
ホッグ,558-0003,大阪府大阪市住吉区長居二丁目１１番１８号　 
ハッピーライフみなみおおさか,558-0003,大阪府大阪市住吉区長居二丁目９番１５号　シャトー皆美１階
Ｈｕａｌｉ　Ｋｉｄｓ,558-0003,大阪府大阪市住吉区長居二丁目１２番６号　プランドール１階
ＹＣＣもこもこ長居教室,558-0004,大阪府大阪市住吉区長居東四丁目１０番３号　２階
敬愛児童デイサービス長居,558-0004,大阪府大阪市住吉区長居東三丁目１番１７号　アネックス津和弐番館２０３号
あ～すり～と,558-0004,大阪府大阪市住吉区長居東二丁目１番２６号　カサグランデ華陽１階
ひかり住吉,558-0004,大阪府大阪市住吉区長居東三丁目１４番８号　コーポラス長居東１階
ＳｔａｉｒＹｏｕｔｈ　Ｔｓｕｋｕｓｈｉ,558-0011,大阪府大阪市住吉区苅田七丁目１２番１９号　北野マンション東館２１４Ａ号室
キラリ・絆,558-0011,大阪府大阪市住吉区苅田七丁目１２番１９号　北野マンション（東館）２１４Ｂ
シャイン児童デイサービス,558-0011,大阪府大阪市住吉区苅田九丁目１４番７号　２１コートマルナカ３０２
児童発達支援　放課後等デイサービス　つなぐ,558-0011,大阪府大阪市住吉区苅田十丁目８番２７－３号　 
ＬＩＴＡＬＩＣＯジュニアあびこ教室,558-0013,大阪府大阪市住吉区我孫子東二丁目６番２９号　サンシャイン寿３０３号
個別療育センター結いの虹長居教室,558-0013,大阪府大阪市住吉区我孫子東一丁目１番５号　サンシャイン我孫子２Ｆ
Ｓｍｉｌｅ　Ｌｉｎｋ　あびこ,558-0014,大阪府大阪市住吉区我孫子三丁目５番１７号　ふぁみ～ゆアビコⅤ２０３号
スタートアップあびこ,558-0014,大阪府大阪市住吉区我孫子三丁目９番１１号　 
スタートアップあびこ　きた,558-0014,大阪府大阪市住吉区我孫子三丁目１番８号　メゾン新井１Ｆ
親子スペース　むう,558-0014,大阪府大阪市住吉区我孫子三丁目８番１９号　エクセレッテアビコ１階
児童発達支援・放課後等デイサービス　ねいろ　あびこルーム,558-0015,大阪府大阪市住吉区我孫子西二丁目４番２１号　ゼクス我孫子１０２号室
浅香障がい者会館,558-0021,大阪府大阪市住吉区浅香一丁目６番２６号　 
つくし浅香,558-0021,大阪府大阪市住吉区浅香一丁目６番２８号　 
アンシャンテ,558-0023,大阪府大阪市住吉区山之内四丁目１６番２０号　ルミナス２１山之内１階
放課後等デイサービス　ウィズ・ユーあびこ,558-0023,大阪府大阪市住吉区山之内二丁目５番２１号　 
児童クラブ　こころらぼ,558-0023,大阪府大阪市住吉区山之内一丁目４番１２号　 
児童発達支援・放課後等デイサービス　Ｃｉｅｌ,558-0031,大阪府大阪市住吉区沢之町一丁目１番２６号　和光ハイツ１階
運動療育型児童デイぽぷらの樹遠里小野,558-0032,大阪府大阪市住吉区遠里小野五丁目３番３３号　榎並ビル１Ｆ
アンシャンテ２,558-0032,大阪府大阪市住吉区遠里小野二丁目１番２７号　クレインズコート１Ｆ
あていん　きっず,558-0032,大阪府大阪市住吉区遠里小野一丁目７番１９号　ソフィアビル３Ｆ
児童発達支援・放課後等デイサービス　ＡＹＵＭＯおりおの,558-0032,大阪府大阪市住吉区遠里小野一丁目３番２２号　サンデンフラッツ１０６号
４Ｘ４＝１６はかせＳ,558-0033,大阪府大阪市住吉区清水丘二丁目３番３号　１階
リアム清水丘,558-0033,大阪府大阪市住吉区清水丘三丁目３番５号　 
運動療育型児童デイぽぷらの樹南住吉,558-0041,大阪府大阪市住吉区南住吉三丁目１６番１２号１０３号室　 
はぴネスト,558-0041,大阪府大阪市住吉区南住吉三丁目１６番３０号　 
４Ｘ４＝１６はかせ,558-0041,大阪府大阪市住吉区南住吉四丁目１６番２８号　パークサイド大晃　５Ｆ
リアム住吉,558-0041,大阪府大阪市住吉区南住吉二丁目１４番２０号　平成ハイツ壱番館１０３号
エラマーチきっず,558-0041,大阪府大阪市住吉区南住吉三丁目１０番３２号　 
児童発達支援・放課後等デイサービス　はねる,558-0041,大阪府大阪市住吉区南住吉一丁目２２番１９号　サンライズ住吉１階
はなるーむ,558-0042,大阪府大阪市住吉区殿辻二丁目１番２３号　 
ココ’ティエ,558-0043,大阪府大阪市住吉区墨江三丁目１９番１０号　 
Ｓｔｕｄｙ,558-0043,大阪府大阪市住吉区墨江二丁目８番１７号　 
放課後等デイサービス・児童発達支援　たけん家,558-0043,大阪府大阪市住吉区墨江一丁目１１番６号　 
児童発達支援・放課後等デイサービス　ＬＯＯＰ,558-0043,大阪府大阪市住吉区墨江一丁目４番１０号　東洋プラザ住吉１階１０１号室
障がい児者余暇生活支援センターじらふ・じらふ街道,558-0051,大阪府大阪市住吉区東粉浜三丁目３１番２１号　 
ＤＥＬＩＧＨＴ　ＡＮＤ　帝塚山教室,558-0051,大阪府大阪市住吉区東粉浜一丁目１番２１号　ユアサハイム帝塚山１１１号
児童発達支援・放課後等デイサービス・ねいろ,558-0053,大阪府大阪市住吉区帝塚山中一丁目４番３５号　 
障がい児者余暇生活支援センターじらふ・じらふ住吉,558-0054,大阪府大阪市住吉区帝塚山東五丁目８番３号　住吉総合福祉センター２階
ナーシングデイやすらぎ,558-0054,大阪府大阪市住吉区帝塚山東五丁目７番１１－１０５号　 
わくわくエジソン　すみよし帝塚山教室,558-0054,大阪府大阪市住吉区帝塚山東一丁目３番３４号　ＰＬＯＴ帝塚山Ｂ－３
児童発達支援・放課後等デイサービス　にーのＬｕｃｅ,558-0054,大阪府大阪市住吉区帝塚山東三丁目３番９号　 
児童発達支援放課後等デイサービス　にーの,558-0054,大阪府大阪市住吉区帝塚山東三丁目３番９号　２Ｆ
えがお住吉区店,558-0054,大阪府大阪市住吉区帝塚山東三丁目９番１０号　植松ビル１階・２階
Ａｍｉっ子クラブ,558-0055,大阪府大阪市住吉区万代六丁目１５番６号　 
すみよしシュタイナー子どもの家,558-0056,大阪府大阪市住吉区万代東一丁目４番１１号　 
はぴエール,558-0056,大阪府大阪市住吉区万代東二丁目４番３４号　Ｌハイツ１階
元気っ子,558-0056,大阪府大阪市住吉区万代東四丁目３番２５号　ライオンズマンション住吉万代東１０１号
ＩＬＩＳ　ＣＬＵＢ　今林,546-0001,大阪府大阪市東住吉区今林四丁目１６番１４号　 
児童発達支援・放課後等デイサービス　はればれ,546-0002,大阪府大阪市東住吉区杭全七丁目８番３１号　サンハイツ１０５号室
児童デイサービスからふる今川,546-0003,大阪府大阪市東住吉区今川四丁目４番９号　 
児童発達支援・児童デイサービスＢｒｉｄｇｅ　本店,546-0003,大阪府大阪市東住吉区今川七丁目４番２３号　 
放課後等デイサービス　パステル大阪本部,546-0003,大阪府大阪市東住吉区今川四丁目２１番１５号　エミール今川１階
といろ,546-0003,大阪府大阪市東住吉区今川八丁目４番１０－Ａ号　 
児童発達支援・放課後等デイサービス　めばえ,546-0003,大阪府大阪市東住吉区今川四丁目１７番９号　 
りとる・すて～しょん　かめれおん,546-0003,大阪府大阪市東住吉区今川四丁目２１番２０号　 
熊の家,546-0011,大阪府大阪市東住吉区針中野一丁目１番９号　 
児童デイサービスからふる中野,546-0012,大阪府大阪市東住吉区中野二丁目１番１号　 
ワンスタット平野,546-0012,大阪府大阪市東住吉区中野二丁目７番１６号　 
児童デイサービス　アエタＥＬＧ,546-0013,大阪府大阪市東住吉区湯里二丁目１８番１８－１０１号　朝日プラザグランタワー
すたぁりっと　ステップ,546-0013,大阪府大阪市東住吉区湯里四丁目５番１７号　 
いろえんぴつ,546-0013,大阪府大阪市東住吉区湯里二丁目７番２号　ハイツＡ．Ｃ１階
ひだまりでいず,546-0013,大阪府大阪市東住吉区湯里六丁目１２番１７号　 
こんてぃにゅう,546-0014,大阪府大阪市東住吉区鷹合一丁目２番１号　ダグラス鷹合１階
運動療育型児童デイ　ぽぷらの樹　東住吉,546-0021,大阪府大阪市東住吉区照ケ丘矢田三丁目２番１号　１Ｆ
トミオカコネクト　東住吉教室,546-0021,大阪府大阪市東住吉区照ケ丘矢田四丁目１４番１３号　 
ＣＬＡＮ東住吉,546-0021,大阪府大阪市東住吉区照ケ丘矢田三丁目７番１号　 
重症心身障がい児デイ　ＴＯＭＯＲＲＯＷ,546-0021,大阪府大阪市東住吉区照ケ丘矢田四丁目１３番１５号　 
